ID_arcid,ID_from_node,ID_to_node,ID_USElFil,ID_USElRaw,ID_DSElFil,ID_DSElRaw,ID_SLPFil,ID_SLPRaw,ID_ElDiff,ID_Length,ID_StrO,ID_MicroWSAre,ID_FldPlnWdth,ID_AD,ID_FX,ID_FY,ID_TX,ID_TY,ID_SubWS,Q15,Wac,Conf,id_subSect,n_reach
24,1,2,1803,1796.6178379,1799,1796.53848755,0.0264400656802482,-0.25334180116185,4,493.908,2,560603,152,158,42339.9222924,2756750.56167,42757.4129057,2756678.19713,103,47.8204557041248,10.5769839735722,7.1854131754283,1,2
24,2,3,1800.03932987,1796.53848755,1782,1787.12969186,0.020999369327925,0.0545448767004,20.743513,987.816,2,1881961,331,321,42757.4129057,2756678.19713,43622.2114518,2756621.38865,103,48.440994327298,11.415558765749,7.11188935945457,2,4
24,3,4,1783.62607081,1787.12969186,1754,1748.06553691,0.0160207728505554,0.0384429736912333,32.828896,2222.586,2,9594560.4,731,789,43622.2114518,2756621.38865,45499.5970239,2755811.7517,103,52.0853053134133,11.9771035413511,6.8630021255299,3,9
24,4,5,1754,1748.06553691,1753,1747.00124328,0.00607400568526932,0.00736261161478,1,246.954,2,1129360,90,91,45499.5970239,2755811.7517,45731.5112764,2755757.45378,103,53.710527449601,12.6654895697667,7.10592350214677,4,1
24,5,7,1753,1747.00124328,1735,1735.08257137,0.0236489393883231,0.0235314060887,18.0206,740.862,2,353207,119.785700548083,276,45731.5112764,2755757.45378,46402.6363901,2755667.17124,103,54.1948650253829,11.8630650812998,3.24721943417038,5,3
23,6,7,1772,1771.57196542,1735,1735.08257137,0.0555948944141,-0.308931240962667,39.25411,706.074,2,566038,144,99,46703.5781751,2756238.96063,46402.6363901,2755667.17124,103,23.3458756431529,6.79904814402138,7.11956846863443,6,3
27,7,8,1735,1735.08257137,1718,1717.33080225,0.0127904609116119,0.0100175675194667,19.341836,1392.084,3,3926938.7,409,762,46402.6363901,2755667.17124,46912.3767265,2754478.28968,103,70.6262060732555,14.3722015265234,4.79479838206773,7,6
27,8,9,1718.49463336,1717.33080225,1690,1687.20769407,0.0170224898184153,0.04702752583458,39.027288,2605.514,3,10035609.1,1403,1638,46912.3767265,2754478.28968,48479.1347067,2752717.94175,103,80.4760348332056,15.1719657026272,8.31025649243528,8,11
44,9,10,1690,1687.20769407,1676,1664.272955,0.0107082190451729,0.016264630223275,18.3504476,2431.91,3,6320597,969,1780,48479.1347067,2752717.94175,49740.8864227,2750966.67602,103,93.1950362133975,17.4629824220204,5.56889648175261,9,10
44,10,11,1676,1664.272955,1626,1624.66981179,0.0252752236328364,0.0566538983709822,66.236729,2188.719,3,20291291.4,853,1724,49740.8864227,2750966.67602,51310.2810729,2749708.5239,103,98.9844405551288,16.9293833648903,5.67173559348278,10,9
44,11,12,1626,1624.66981179,1617.5123291,1621.56857029,0.0328959542088317,0.091530479783,15.33676,729.573,3,2875469,340,606,51310.2810729,2749708.5239,51843.443171,2749264.73731,103,103.399498522715,16.2613488185747,6.96949155926579,11,3
44,12,13,1621.33614846,1621.56857029,1548,1547.08932689,0.0518579288119586,0.112528473795343,88.279669,1702.337,3,6988073.2,589,1441,51843.443171,2749264.73731,51939.9652343,2747741.07355,103,105.01823469226,16.2762722418509,5.14503479179655,12,7
44,13,14,1548,1547.08932689,1512,1508.11369238,0.0216997219362089,-0.0173968139344485,47.048968,2587.132,3,3892523.7,850,2525,51939.9652343,2747741.07355,52852.4182266,2746298.25409,103,114.81693018424,18.5329981806565,4.19512561085761,13,11
51,14,18,1512,1508.11369238,1495,1492.87505597,0.0126266416012184,-1.36728923565333,17.0306,696.291,3,356829.9,230,743,52852.4182266,2746298.25409,53173.8265529,2745796.28069,103,122.234152231408,19.3406342748119,3.95832632261977,14,3
40,15,16,1614,1608.30046381,1582.77990723,1584.59449409,0.0167480107920737,0.044185609038575,33.479005,1998.984,3,13067761,657,950,73545.3053608,2751795.57487,74510.5991103,2750393.29846,103,66.8303514672246,13.5842868778164,6.0557327277048,15,8
40,16,17,1583,1584.59449409,1488.4206543,1488.71917331,0.0198838959113387,-0.157821528498183,108.601508,6375.028,3,15570088.6,2593,3742,74510.5991103,2750393.29846,76130.6892348,2745392.50704,103,78.2226356545916,14.7143680377042,6.79344179973507,16,26
59,17,26,1489,1488.71917331,1464,1461.40804558,0.0148584561770985,-0.21685312929355,26.873,1943.072,3,9388077.9,1281,1338,76130.6892348,2745392.50704,76376.4381774,2743659.59402,103,88.5455967568025,15.9200183696537,10.117533674642,17,8
61,18,19,1495,1492.87505597,1461,1460.19484039,0.012887152479052,-0.116863074143077,46.63372,3350.382,3,7865650,1016,4209,53173.8265529,2745796.28069,55164.4271779,2743986.24514,103,143.341478005757,21.2353424156706,3.42392496587637,18,14
61,19,30,1461.74684631,1460.19484039,1459,1452.31825029,0.00677985686939778,-0.727076611598838,3.6058949,1294.005,3,923773.3,692,1867,55164.4271779,2743986.24514,56002.679332,2743178.08716,103,147.44705055627,23.337163077273,5.06088638347606,19,6
53,20,21,1563.65869012,1561.74989255,1544,1544.95942914,0.04231488332155,0.117191730322,20.76239,490.664,1,824150,102,74,54559.3882295,2746874.63585,54276.6984506,2746491.99679,103,25.6462406875374,7.11839066354353,7.14947149514841,20,2
53,21,22,1545.21607172,1544.95942914,1530.37438965,1533.59340127,0.031735301017765,0.1488541886185,15.57137,490.664,1,482717,97,75,54276.6984506,2746491.99679,53866.644797,2746307.88173,103,25.9302340860492,7.70313491652955,6.13208133893442,21,2
53,22,18,1532,1533.59340127,1495,1492.87505597,0.044051683507875,-0.95110816284275,43.22915,981.328,1,882113,176.311565719422,154,53866.644797,2746307.88173,53173.8265529,2745796.28069,103,26.4968890788191,7.25161242205566,6.10158742693183,22,4
60,23,24,1551.40696863,1554.3009237,1517,1517.11779961,0.08939788490535,0.265451865006,41.1772,460.606,2,351396,97,66,77359.9578739,2744652.70191,76923.8061846,2744568.09217,103,23.3458756431529,6.35795565297512,7.63559651765496,23,2
60,24,25,1519.35475715,1517.11779961,1477.21960449,1479.27709208,0.0685851561526333,0.140828396287833,47.3861,690.909,2,1007093.5,114,99,76923.8061846,2744568.09217,76603.6101246,2743986.36988,103,23.3458756431529,6.49353962002047,5.86207107899658,24,3
60,25,26,1479.33922474,1479.27709208,1464,1461.40804558,0.0348294870928,-0.0717778147304,16.04267,460.606,2,222792,880,68,76603.6101246,2743986.36988,76376.4381774,2743659.59402,103,23.9254216368824,7.10154471996036,63.1076776957839,25,2
68,26,27,1464,1461.40804558,1442,1453.64813041,0.0157450775304313,-0.242077220582879,26.1681057,3839.728,3,4842568,1248.52324998369,3448,76376.4381774,2743659.59402,75413.4244654,2740649.27817,103,109.021241942656,18.1898440599307,4.29509810271176,26,16
85,27,28,1450.73144423,1453.64813041,1348,1347.50776847,0.0425728047663345,0.104548915313491,116.5849042,2738.483,3,13449042,688,2800,75413.4244654,2740649.27817,74409.8427915,2738493.8691,103,125.024094538198,18.760440869075,3.19361365385985,27,11
85,28,29,1349.25565831,1347.50776847,1299,1298.63189475,0.0117075342509836,-0.213122717598871,65.7306874,5896.764,3,18887534.1,2011,6828,74409.8427915,2738493.8691,74093.8631998,2733584.9181,103,136.955124319015,21.3887827224681,3.99769198972115,28,24
100,29,71,1299.85723556,1298.63189475,1264,1264.21203105,0.0103924780139737,-0.465088401795713,50.1035411,5091.324,3,20382784.9,3152.36696878679,6668,74093.8631998,2733584.9181,70417.7908342,2730388.0613,103,149.916719321686,22.8617665857325,6.50494327963253,29,21
65,30,31,1459,1452.31825029,1459,1453.02191394,0.00873043753119357,-2.01664383928,0,199.798,3,249962,120,349,56002.679332,2743178.08716,56080.1183735,2743010.36558,103,162.024102079945,23.3566412151643,5.13772502195606,30,1
65,31,32,1459.24463835,1453.02191394,1424,1418.22265381,0.0172343905778053,-0.164286365041254,41.265331,3001.804,3,16699458.5,1778,4780,56080.1183735,2743010.36558,58062.9236329,2741364.01429,103,169.111131057488,23.0765787351709,5.91221754380152,31,13
73,32,33,1424.30230759,1418.22265381,1404,1397.59291749,0.0204517400901217,0.0670094305371617,29.480078,1441.446,3,3258564,471,2286,58062.9236329,2741364.01429,58801.4379326,2740243.63693,103,174.130280577664,23.6862193817907,3.3436470740407,32,6
73,33,34,1404,1397.59291749,1404,1394.54369393,0.0388498771372636,0.113128213203,0,240.241,3,34415.1,108,383,58801.4379326,2740243.63693,58891.7204681,2740040.79225,103,174.880864123553,21.7704276778418,4.96085798580446,33,1
73,34,35,1404,1394.54369393,1376,1370.41489023,0.0283305605808524,0.162683706979667,28.75182,720.723,3,1164678,318,1150,58891.7204681,2740040.79225,59221.2185306,2739513.92869,103,175.005854274497,22.7748968634729,4.7572904455302,34,3
73,35,39,1376.31830791,1370.41489023,1340.16992188,1341.14239241,0.036043082084506,-1.2450269257477,41.4431,1004.037,3,387622.6,247.240119292742,1968,59221.2185306,2739513.92869,60095.4876082,2739446.40903,103,178.835103949783,22.9951258831325,2.10788245073324,35,5
63,36,37,1527.14093116,1527.05691998,1505.74121094,1508.59354001,0.0869828686118,0.266617304056,21.3997,246.022,1,230943,30,31,56961.1132699,2743837.41122,56746.0321623,2743737.01708,103,22.1772306313187,6.18424416230022,4.85103744494486,36,1
63,37,38,1507.49860097,1508.59354001,1459.34753418,1461.46315366,0.0675652300318333,-0.0364427241893333,49.8676,738.066,1,407546,114,96,56746.0321623,2743737.01708,56220.7151771,2743245.65211,103,22.7631840472163,6.4190597650875,5.91074674797546,37,3
63,38,30,1461.72539439,1461.46315366,1459,1452.31825029,0.011077830568,-0.160628667138,2.72539,246.022,1,0,361,32,56220.7151771,2743245.65211,56002.679332,2743178.08716,103,22.7631840472163,7.35426864192244,49.0871380387368,38,1
78,39,40,1341,1341.14239241,1322,1318.66290671,0.0105783791472799,-0.116826934616249,26.2013063,3381.224,3,22960286,1865,7131,60095.4876082,2739446.40903,62614.4514281,2737649.70549,103,221.028064384207,28.6345314736399,4.65885055286574,39,14
78,40,41,1322,1318.66290671,1322,1319.31392664,0.00696335934560982,0.0166546916874,0,483.032,3,177509.3,452,1038,62614.4514281,2737649.70549,63043.9159434,2737520.3816,103,224.461202566647,28.7067031813944,7.872725703538,40,2
78,41,42,1322,1319.31392664,1306.74353027,1307.85385483,0.0166682085403899,0.04174986356718,18.8835,1207.58,3,5263695,609,2609,63043.9159434,2737520.3816,64006.3033036,2737431.7645,103,225.455256266813,28.3752077339568,4.27250861137368,41,5
